
2025-11-25 21:29:43,110 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.10.10', 6, 53994, 5001) rate=5.43Mbps (> 5.16Mbps)
2025-11-25 21:29:43,114 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46358, 5001) rate=5.61Mbps (> 5.16Mbps)
2025-11-25 21:29:43,147 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.10.10', 6, 54054, 5001) rate=5.40Mbps (> 5.16Mbps)
2025-11-25 21:29:43,154 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48148, 5001) rate=5.57Mbps (> 5.16Mbps)
2025-11-25 21:29:43,157 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46282, 5001) rate=5.50Mbps (> 5.16Mbps)
2025-11-25 21:29:43,160 - [RAMAF] Congested -> evicted 20 flows
2025-11-25 21:29:44,919 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48182, 5001)
2025-11-25 21:29:44,924 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48182, 5001)
2025-11-25 21:29:46,311 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48402, 5001)
2025-11-25 21:29:46,311 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48402, 5001)
2025-11-25 21:29:47,807 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.4.10', '10.0.10.10', 6, 54034, 5001)
2025-11-25 21:29:47,810 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.4.10', '10.0.10.10', 6, 54034, 5001)
2025-11-25 21:29:49,221 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46390, 5001)
2025-11-25 21:29:49,226 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46390, 5001)
2025-11-25 21:29:50,702 - [RAMAF] Congested: fair_rate=3.21Mbps priority_load=0.03
2025-11-25 21:29:50,704 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46312, 5001) rate=6.06Mbps (> 3.86Mbps)
2025-11-25 21:29:50,709 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48116, 5001) rate=6.00Mbps (> 3.86Mbps)
2025-11-25 21:29:50,712 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48182, 5001) rate=5.86Mbps (> 3.86Mbps)
2025-11-25 21:29:50,715 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35460, 5001) rate=5.97Mbps (> 3.86Mbps)
2025-11-25 21:29:50,720 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001) rate=5.88Mbps (> 3.86Mbps)
2025-11-25 21:29:50,724 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48402, 5001) rate=4.50Mbps (> 3.86Mbps)
2025-11-25 21:29:50,730 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48170, 5001) rate=5.93Mbps (> 3.86Mbps)
